Line,File
RIL123,RIL123_trim_R[12].fastq.gz,Pop1
RIL128,RIL128_trim_R[12].fastq.gz,Pop1
RIL182,RIL182_trim_R[12].fastq.gz,Pop1
RIL117,RIL117_trim_R[12].fastq.gz,Pop1
RIL53,RIL53_trim_R[12].fastq.gz,Pop1
RIL168,RIL168_trim_R[12].fastq.gz,Pop1
RIL235,RIL235_trim_R[12].fastq.gz,Pop1
RIL223,RIL223_trim_R[12].fastq.gz,Pop1
RIL181,RIL181_trim_R[12].fastq.gz,Pop1
RIL261,RIL261_trim_R[12].fastq.gz,Pop1
RIL75,RIL75_trim_R[12].fastq.gz,Pop1
RIL60,RIL60_trim_R[12].fastq.gz,Pop1
RIL14,RIL14_trim_R[12].fastq.gz,Pop1
RIL213,RIL213_trim_R[12].fastq.gz,Pop1
RIL82,RIL82_trim_R[12].fastq.gz,Pop1
RIL184,RIL184_trim_R[12].fastq.gz,Pop1
RIL100,RIL100_trim_R[12].fastq.gz,Pop1
RIL237,RIL237_trim_R[12].fastq.gz,Pop1
RIL17,RIL17_trim_R[12].fastq.gz,Pop1
RIL151,RIL151_trim_R[12].fastq.gz,Pop1
RIL159,RIL159_trim_R[12].fastq.gz,Pop1
RIL154,RIL154_trim_R[12].fastq.gz,Pop1
RIL277,RIL277_trim_R[12].fastq.gz,Pop1
RIL55,RIL55_trim_R[12].fastq.gz,Pop1
RIL96,RIL96_trim_R[12].fastq.gz,Pop1
RIL7,RIL7_trim_R[12].fastq.gz,Pop1
RIL222,RIL222_trim_R[12].fastq.gz,Pop1
RIL90,RIL90_trim_R[12].fastq.gz,Pop1
RIL279,RIL279_trim_R[12].fastq.gz,Pop1
RIL273,RIL273_trim_R[12].fastq.gz,Pop1
RIL242,RIL242_trim_R[12].fastq.gz,Pop1
RIL231,RIL231_trim_R[12].fastq.gz,Pop1
RIL195,RIL195_trim_R[12].fastq.gz,Pop1
RIL262,RIL262_trim_R[12].fastq.gz,Pop1
RIL2,RIL2_trim_R[12].fastq.gz,Pop1
RIL251,RIL251_trim_R[12].fastq.gz,Pop1
RIL3,RIL3_trim_R[12].fastq.gz,Pop1
RIL180,RIL180_trim_R[12].fastq.gz,Pop1
RIL174,RIL174_trim_R[12].fastq.gz,Pop1
RIL209,RIL209_trim_R[12].fastq.gz,Pop1
RIL216,RIL216_trim_R[12].fastq.gz,Pop1
RIL13,RIL13_trim_R[12].fastq.gz,Pop1
RIL23,RIL23_trim_R[12].fastq.gz,Pop1
RIL179,RIL179_trim_R[12].fastq.gz,Pop1
RIL136,RIL136_trim_R[12].fastq.gz,Pop1
RIL42,RIL42_trim_R[12].fastq.gz,Pop1
RIL233,RIL233_trim_R[12].fastq.gz,Pop1
RIL143,RIL143_trim_R[12].fastq.gz,Pop1
RIL9,RIL9_trim_R[12].fastq.gz,Pop1
RIL91,RIL91_trim_R[12].fastq.gz,Pop1
RIL163,RIL163_trim_R[12].fastq.gz,Pop1
RIL212,RIL212_trim_R[12].fastq.gz,Pop1
RIL20,RIL20_trim_R[12].fastq.gz,Pop1
RIL126,RIL126_trim_R[12].fastq.gz,Pop1
RIL116,RIL116_trim_R[12].fastq.gz,Pop1
RIL240,RIL240_trim_R[12].fastq.gz,Pop1
RIL158,RIL158_trim_R[12].fastq.gz,Pop1
RIL257,RIL257_trim_R[12].fastq.gz,Pop1
RIL162,RIL162_trim_R[12].fastq.gz,Pop1
RIL230,RIL230_trim_R[12].fastq.gz,Pop1
RIL258,RIL258_trim_R[12].fastq.gz,Pop1
RIL88,RIL88_trim_R[12].fastq.gz,Pop1
RIL102,RIL102_trim_R[12].fastq.gz,Pop1
RIL224,RIL224_trim_R[12].fastq.gz,Pop1
RIL278,RIL278_trim_R[12].fastq.gz,Pop1
RIL61,RIL61_trim_R[12].fastq.gz,Pop1
RIL106,RIL106_trim_R[12].fastq.gz,Pop1
RIL93,RIL93_trim_R[12].fastq.gz,Pop1
RIL221,RIL221_trim_R[12].fastq.gz,Pop1
RIL51,RIL51_trim_R[12].fastq.gz,Pop1
RIL196,RIL196_trim_R[12].fastq.gz,Pop1
RIL187,RIL187_trim_R[12].fastq.gz,Pop1
RIL105,RIL105_trim_R[12].fastq.gz,Pop1
RIL49,RIL49_trim_R[12].fastq.gz,Pop1
RIL194,RIL194_trim_R[12].fastq.gz,Pop1
RIL77,RIL77_trim_R[12].fastq.gz,Pop1
RIL206,RIL206_trim_R[12].fastq.gz,Pop1
RIL208,RIL208_trim_R[12].fastq.gz,Pop1
RIL62,RIL62_trim_R[12].fastq.gz,Pop1
RIL211,RIL211_trim_R[12].fastq.gz,Pop1
RIL274,RIL274_trim_R[12].fastq.gz,Pop1
RIL147,RIL147_trim_R[12].fastq.gz,Pop1
RIL31,RIL31_trim_R[12].fastq.gz,Pop1
RIL280,RIL280_trim_R[12].fastq.gz,Pop1
RIL219,RIL219_trim_R[12].fastq.gz,Pop1
RIL238,RIL238_trim_R[12].fastq.gz,Pop1
RIL146,RIL146_trim_R[12].fastq.gz,Pop1
RIL239,RIL239_trim_R[12].fastq.gz,Pop1
RIL25,RIL25_trim_R[12].fastq.gz,Pop1
RIL15,RIL15_trim_R[12].fastq.gz,Pop1
RIL176,RIL176_trim_R[12].fastq.gz,Pop1
RIL193,RIL193_trim_R[12].fastq.gz,Pop1
RIL120,RIL120_trim_R[12].fastq.gz,Pop1
RIL271,RIL271_trim_R[12].fastq.gz,Pop1
RIL214,RIL214_trim_R[12].fastq.gz,Pop1
RIL119,RIL119_trim_R[12].fastq.gz,Pop1
